Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
0.63,0.505,0.175,1.2209999999999999,0.555,0.252,0.34,13.5
0.59,0.47,0.145,0.9235,0.4545,0.17300000000000001,0.254,10.5
0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515,20.5
0.345,0.27,0.09,0.195,0.078,0.0455,0.059000000000000004,10.5
0.57,0.415,0.13,0.88,0.4275,0.1955,0.23800000000000002,14.5
0.46,0.375,0.12,0.4915,0.2205,0.08800000000000001,0.17,8.5
0.705,0.55,0.17,1.219,0.6395,0.23600000000000002,0.301,10.5
0.54,0.42,0.14,0.805,0.369,0.1725,0.21,12.5
0.56,0.455,0.155,0.797,0.34,0.19,0.2425,12.5
0.715,0.55,0.175,1.825,0.938,0.3805,0.44,12.5
0.58,0.445,0.145,0.888,0.41,0.1815,0.2425,9.5
0.525,0.425,0.125,0.812,0.4035,0.1705,0.195,9.5
0.52,0.395,0.18,0.64,0.158,0.11,0.245,23.5
0.71,0.565,0.2,1.601,0.706,0.321,0.45,12.5
0.77,0.62,0.195,2.5155,1.1155,0.6415,0.642,13.5
0.34,0.255,0.095,0.213,0.081,0.034,0.07,10.5
0.565,0.45,0.16,0.895,0.415,0.195,0.24600000000000002,10.5
0.58,0.465,0.165,1.1015,0.40399999999999997,0.2095,0.35,12.5
0.62,0.465,0.145,0.9109999999999999,0.375,0.2145,0.278,11.5
0.595,0.47,0.155,1.121,0.4515,0.17800000000000002,0.155,12.5
0.575,0.47,0.185,0.985,0.3745,0.2175,0.355,11.5
0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,15.5
0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,9.5
0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,10.5
0.6,0.47,0.13,1.0105,0.423,0.21899999999999997,0.298,10.5
0.605,0.465,0.155,1.1,0.547,0.2665,0.2585,11.5
0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,12.5
0.605,0.505,0.18,1.4340000000000002,0.7285,0.264,0.431,12.5
0.695,0.525,0.175,1.742,0.696,0.389,0.505,13.5
0.505,0.41,0.15,0.644,0.285,0.145,0.21,12.5
0.65,0.495,0.18,1.7930000000000001,0.8005,0.33899999999999997,0.53,15.5
0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,10.5
0.585,0.465,0.17,0.9915,0.3865,0.22399999999999998,0.265,13.5
0.605,0.475,0.175,1.0759999999999998,0.46299999999999997,0.2195,0.335,10.5
0.505,0.405,0.11,0.625,0.305,0.16,0.175,10.5
0.5,0.4,0.13,0.6645,0.258,0.133,0.24,13.5
0.555,0.44,0.135,0.9025,0.3805,0.2105,0.28,14.5
0.59,0.45,0.16,0.998,0.445,0.214,0.301,10.5
0.585,0.47,0.145,0.9565,0.4025,0.2365,0.265,10.5
0.515,0.4,0.125,0.955,0.341,0.2535,0.26,14.5
0.7,0.575,0.17,1.31,0.5095,0.314,0.42,15.5
0.435,0.32,0.12,0.3785,0.152,0.0915,0.125,12.5
0.71,0.57,0.195,1.348,0.8985,0.4435,0.4535,12.5
0.55,0.425,0.15,0.8315,0.41100000000000003,0.1765,0.2165,11.5
0.65,0.525,0.185,1.3455,0.586,0.278,0.3865,10.5
0.59,0.45,0.155,0.8740000000000001,0.369,0.2135,0.24,9.5
0.545,0.435,0.145,0.9385,0.3685,0.1245,0.345,12.5
0.535,0.45,0.135,0.8075,0.322,0.18100000000000002,0.25,14.5
0.65,0.525,0.175,1.4715,0.675,0.315,0.39899999999999997,12.5
0.32,0.245,0.075,0.1555,0.0585,0.038,0.049,12.5
0.655,0.515,0.16,1.31,0.5529999999999999,0.369,0.345,12.5
0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,9.5
0.62,0.47,0.225,1.115,0.37799999999999995,0.2145,0.36,16.5
0.575,0.48,0.17,1.1,0.506,0.2485,0.31,11.5
0.63,0.49,0.17,1.1745,0.5255,0.273,0.33899999999999997,12.5
0.645,0.52,0.17,1.197,0.526,0.2925,0.317,12.5
0.59,0.465,0.165,1.115,0.5165,0.273,0.275,11.5
0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,11.5
0.515,0.405,0.14,0.8505,0.312,0.146,0.315,18.5
0.535,0.41,0.12,0.6835,0.3125,0.1655,0.159,9.5
0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,12.5
0.64,0.505,0.18,1.297,0.59,0.3125,0.363,12.5
0.57,0.445,0.155,1.0170000000000001,0.5265,0.2025,0.265,11.5
0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395,15.5
0.62,0.515,0.175,1.2209999999999999,0.535,0.24100000000000002,0.395,14.5
0.5,0.405,0.14,0.6735,0.265,0.124,0.25,19.5
0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,15.5
0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,14.5
0.605,0.485,0.16,1.222,0.53,0.2575,0.28,14.5
