Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Age
0,0.59,0.455,0.155,1.0659999999999998,0.382,0.2275,0.415,21.5
1,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,8.5
1,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,8.5
0,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,12.5
0,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,11.5
1,0.565,0.455,0.185,0.9265,0.354,0.1575,0.375,17.5
0,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,12.5
1,0.63,0.485,0.16,1.2429999999999999,0.623,0.275,0.3,11.5
1,0.565,0.455,0.155,0.9355,0.42100000000000004,0.183,0.26,12.5
1,0.615,0.47,0.175,1.242,0.5675,0.287,0.317,12.5
1,0.55,0.425,0.16,0.7929999999999999,0.34299999999999997,0.2035,0.215,10.5
0,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,18.5
0,0.575,0.46,0.16,1.103,0.5379999999999999,0.221,0.249,10.5
0,0.585,0.45,0.17,0.8685,0.3325,0.1635,0.27,23.5
1,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41,20.5
1,0.425,0.33,0.08,0.361,0.134,0.0825,0.125,8.5
0,0.62,0.515,0.155,1.3255,0.6685,0.2605,0.335,13.5
1,0.58,0.445,0.135,0.8140000000000001,0.3775,0.1915,0.22,10.5
0,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,12.5
1,0.46,0.355,0.14,0.491,0.207,0.115,0.174,11.5
1,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,9.5
1,0.465,0.355,0.12,0.5315,0.2725,0.09699999999999999,0.1395,9.5
1,0.58,0.45,0.14,0.8240000000000001,0.3465,0.1765,0.263,11.5
0,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,10.5
1,0.55,0.45,0.155,0.7895,0.34299999999999997,0.159,0.25,13.5
0,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,16.5
1,0.495,0.38,0.135,0.6295,0.263,0.1425,0.215,13.5
0,0.635,0.495,0.175,1.2109999999999999,0.7070000000000001,0.2725,0.32299999999999995,10.5
1,0.55,0.425,0.16,0.97,0.2885,0.139,0.48,21.5
1,0.35,0.26,0.09,0.198,0.0725,0.055999999999999994,0.06,11.5
0,0.5,0.375,0.115,0.5945,0.185,0.14800000000000002,0.19,12.5
0,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,15.5
1,0.56,0.44,0.13,0.8255,0.2425,0.20199999999999999,0.285,11.5
1,0.56,0.415,0.13,0.7615,0.3695,0.17,0.1955,9.5
0,0.625,0.52,0.18,1.354,0.4845,0.35100000000000003,0.375,12.5
1,0.5,0.39,0.135,0.7815,0.361,0.1575,0.2385,10.5
1,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,16.5
1,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,7.5
0,0.675,0.525,0.17,1.8095,0.784,0.391,0.455,13.5
0,0.625,0.42,0.165,1.0595,0.358,0.165,0.445,22.5
0,0.585,0.485,0.15,1.079,0.4145,0.2115,0.35600000000000004,12.5
0,0.68,0.505,0.17,1.3435,0.657,0.297,0.355,13.5
0,0.575,0.42,0.19,1.764,0.914,0.377,0.4095,11.5
0,0.525,0.4,0.115,0.6295,0.2555,0.14400000000000002,0.18,12.5
1,0.695,0.545,0.185,1.5715,0.6645,0.3835,0.4505,14.5
1,0.6,0.48,0.155,1.014,0.451,0.1885,0.325,12.5
0,0.61,0.45,0.16,1.136,0.414,0.311,0.3,10.5
1,0.63,0.53,0.175,1.4135,0.667,0.2945,0.3555,14.5
0,0.55,0.405,0.125,0.6509999999999999,0.2965,0.13699999999999998,0.2,10.5
1,0.745,0.585,0.215,2.499,0.9265,0.47200000000000003,0.7,18.5
0,0.57,0.455,0.165,1.0595,0.44,0.2195,0.285,15.5
0,0.465,0.35,0.11,0.4085,0.165,0.102,0.131,9.5
0,0.65,0.52,0.195,1.281,0.5985,0.24600000000000002,0.3825,11.5
0,0.7,0.54,0.215,1.9780000000000002,0.6675,0.3125,0.71,25.5
1,0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,4.5
0,0.71,0.545,0.175,1.9069999999999998,0.8725,0.4565,0.475,12.5
1,0.505,0.395,0.125,0.635,0.29,0.1555,0.175,10.5
1,0.535,0.42,0.145,0.7909999999999999,0.33,0.18899999999999997,0.25,11.5
