id,Был негативный опыт кредитов,Был позитивный опыт кредитов,Вернул кредит,Возраст,"Доход в месяц, руб",Количество кредитных карт,Количество лет на последней работе,Количество объектов недвижимости в собственности,Уровень образования
0,0,1,1,49,11493,2,3,1,3
1,0,0,0,24,14788,2,10,0,2
2,0,0,0,32,11604,6,3,1,2
3,0,0,1,35,21574,1,2,0,2
4,0,1,1,26,14598,2,2,4,4
5,0,1,1,33,139982,2,2,0,2
6,0,0,1,32,23116,5,5,0,2
7,0,0,0,31,416825,1,23,0,3
8,0,1,1,23,318626,2,2,10,1
9,0,1,0,34,217999,3,5,0,3
10,0,0,1,47,17601,1,3,0,3
11,0,1,1,49,531894,2,3,1,1
12,1,0,1,49,106997,1,3,0,2
13,0,1,1,38,13610,2,4,7,3
14,0,0,1,40,819433,2,3,2,2
15,0,1,1,64,336867,3,4,5,2
16,0,1,1,29,433759,4,4,8,2
17,0,1,1,30,360727,3,9,0,2
18,0,1,1,49,19336,2,22,4,2
19,0,1,0,59,18758,2,15,0,3
20,0,0,1,34,23908,1,5,2,3
21,1,0,1,35,24798,4,10,0,2
22,1,0,1,40,241818,6,24,0,2
23,0,1,1,35,20550,0,5,0,2
24,1,0,0,30,20167,1,9,1,3
25,0,1,1,44,19429,7,10,7,3
26,0,1,0,41,18608,2,11,7,1
27,0,1,1,33,116922,1,1,2,2
28,0,1,1,25,47339,3,6,11,2
29,0,0,0,28,18686,5,2,0,1
30,0,0,0,30,5347,3,9,17,1
31,0,1,1,29,18249,6,3,2,2
32,0,0,0,19,18880,6,4,3,3
33,0,1,1,21,190871,3,2,0,2
34,0,1,1,36,18464,2,4,0,4
35,0,1,0,29,46604,8,11,0,2
36,0,1,1,32,166377,2,1,0,2
37,0,1,1,26,531300,2,15,9,2
38,1,0,1,32,467725,-1,4,8,2
39,0,0,0,42,175985,1,9,0,4
40,0,1,1,21,253884,4,3,0,2
41,0,1,1,35,467721,4,4,1,4
42,0,0,0,62,377744,4,4,1,2
43,0,1,1,31,119903,1,13,0,2
44,0,1,1,42,278527,2,6,0,2
45,0,1,1,44,371570,10,12,0,2
46,0,1,1,55,19576,1,2,0,2
47,0,0,1,31,78272,3,8,0,1
48,0,0,1,22,210435,1,4,14,1
49,0,1,1,38,17390,4,5,0,2
50,0,0,1,46,146730,6,3,0,3
51,0,0,1,61,17601,3,20,0,2
52,0,0,1,43,368440,3,13,0,2
53,0,0,1,27,393031,1,4,8,3
54,0,1,1,37,1385,4,3,0,2
55,0,0,1,33,202935,1,2,1,3
56,0,0,0,44,306671,2,4,19,2
57,1,1,1,72,296335,4,9,0,2
58,0,1,1,40,21815,1,2,1,2
59,0,0,0,45,22560,2,3,0,2
60,0,0,1,45,125646,2,16,0,2
61,0,1,0,30,23409,6,4,1,2
62,0,0,1,43,233906,1,0,0,2
63,0,0,1,36,19780,1,20,3,2
64,0,1,1,33,352710,4,4,3,3
65,0,1,0,44,180092,1,2,0,2
66,0,0,1,31,21701,4,2,0,3
67,0,0,1,59,58987,1,4,1,3
68,0,1,1,26,58622,2,2,1,2
69,1,1,0,37,248836,4,8,0,1
70,0,0,1,46,344325,2,3,0,4
71,0,1,0,25,11999,2,4,2,5
72,0,0,1,29,477596,2,3,1,2
73,0,1,1,28,22969,2,2,0,2
74,0,1,0,27,17684,2,3,0,2
75,0,0,1,34,345215,2,9,0,2
76,0,0,0,32,19153,7,3,6,2
77,0,0,1,33,106191,2,4,2,2
78,1,0,0,47,21534,6,4,0,2
79,0,1,0,33,465557,2,4,8,3
80,0,0,1,34,21203,6,9,0,3
81,0,0,0,23,415708,2,3,0,4
82,0,1,1,41,25929,5,3,0,2
83,0,0,1,31,163965,3,3,0,2
84,0,0,1,28,584565,2,14,6,2
85,0,1,1,36,15798,2,3,6,2
86,0,1,0,23,18289,5,3,0,2
87,1,1,1,31,583175,5,9,11,3
88,0,0,1,46,20743,4,7,2,2
89,0,1,1,61,152242,4,4,0,3
90,0,1,0,32,19365,3,11,5,2
91,0,1,1,52,12518,2,11,6,2
92,0,0,1,32,14621,2,6,0,1
93,0,1,1,32,23246,2,4,1,2
94,0,0,0,54,20308,4,3,0,3
95,0,0,1,43,13853,2,7,0,2
96,0,0,1,38,734347,1,3,0,2
97,0,1,0,36,16401,1,9,0,3
98,0,1,1,31,18079,5,3,0,2
99,0,0,0,50,252244,2,4,0,2
100,0,0,1,26,27199,2,3,0,2
101,0,0,1,32,24253,4,12,2,1
102,0,0,1,44,21862,2,3,6,2
103,0,0,1,50,24682,2,3,0,2
104,0,0,0,22,14247,6,2,10,4
105,1,1,0,31,21367,4,8,0,2
106,0,0,1,32,19750,4,13,0,2
107,0,1,0,30,24357,6,19,0,4
108,0,1,1,31,19215,1,5,4,3
109,0,0,1,38,18637,1,3,0,3
110,0,1,1,36,16480,7,22,15,2
111,0,1,1,35,24976,2,7,6,1
112,0,0,1,29,17084,2,11,6,2
