fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
9.3,0.26,0.3,6.7,0.06,23.0,241.0,0.9905799999999999,3.26,0.34,13.4
6.8,0.24,0.27,10.4,0.043,72.0,123.0,0.98931,3.53,0.34,10.5
5.8,0.34,0.29,5.0,0.036000000000000004,52.0,95.0,0.9911,3.06,0.55,9.5
7.0,0.18,0.36,13.7,0.059000000000000004,51.0,98.0,0.9903,3.03,0.44,11.3
6.6,0.26,0.3,8.5,0.028999999999999998,6.0,181.0,0.9982,3.12,0.55,13.0
6.1,0.32,0.3,1.8,0.055999999999999994,21.0,113.0,0.9903,3.14,0.54,10.1
7.1,0.26,0.26,1.8,0.049,17.0,83.0,0.9939,3.42,0.39,11.5
5.8,0.35,0.36,4.8,0.040999999999999995,8.0,124.0,0.9927,3.11,0.65,9.4
6.2,0.11,0.17,1.7,0.042,36.0,90.0,0.9966,3.02,0.31,9.8
8.4,0.31,0.3,4.3,0.051,35.0,156.0,0.99156,3.0,0.72,9.9
7.3,0.15,0.47,5.4,0.047,16.0,93.0,0.9936200000000001,3.02,0.62,9.1
6.2,0.255,0.29,4.2,0.035,23.0,174.0,0.99498,3.32,0.35,9.7
7.1,0.33,0.28,2.0,0.033,44.0,127.0,0.99792,3.21,0.37,12.8
7.6,0.32,0.26,1.1,0.033,13.0,145.0,0.9911,3.26,0.45,9.1
6.4,0.19,0.2,4.1,0.04,39.0,83.0,0.9916200000000001,3.3,0.52,10.2
8.3,0.14,0.49,5.2,0.043,20.0,97.0,0.9957600000000001,3.23,0.38,9.5
7.3,0.18,0.32,1.7,0.028999999999999998,66.0,221.0,0.99831,3.24,0.48,9.4
7.3,0.16,0.3,1.85,0.054000000000000006,31.0,117.0,0.9957799999999999,3.18,0.51,9.0
8.7,0.25,0.33,8.6,0.042,57.0,142.0,0.9967600000000001,3.19,0.42,9.3
7.1,0.22,0.34,14.4,0.027999999999999997,57.0,94.0,0.9925,3.16,0.7,10.5
6.0,0.28,0.19,8.9,0.053,44.0,122.0,0.9896,3.17,0.76,12.6
5.8,0.26,0.3,7.4,0.040999999999999995,52.0,135.0,0.9965,3.25,0.62,10.6
