Input1(a);Input1(b);Input2;Input3;Input4(l);Input4(y);Input4(u);Input5(gg);Input5(p);Input5(g);Input6(j);Input6(ff);Input6(aa);Input6(e);Input6(i);Input6(x);Input6(d);Input6(c);Input6(k);Input6(cc);Input6(r);Input6(m);Input6(q);Input6(w);Input7(n);Input7(dd);Input7(o);Input7(z);Input7(j);Input7(ff);Input7(bb);Input7(h);Input7(v);Input8;Input9(f);Input9(t);Input10(f);Input10(t);Input11;Input12(t);Input12(f);Input13(p);Input13(s);Input13(g);Input14;Input15;Desired1;Desired2
0;1;30.83;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1.25;0;1;0;1;1;0;1;0;0;1;202;0;0;1
1;0;58.67;4.46;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;3.04;0;1;0;1;6;0;1;0;0;1;43;560;0;1
1;0;24.5;0.5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1.5;0;1;1;0;0;0;1;0;0;1;280;824;0;1
0;1;27.83;1.54;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3.75;0;1;0;1;5;1;0;0;0;1;100;3;0;1
0;1;20.17;5.625;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1.71;0;1;1;0;0;0;1;0;1;0;120;0;0;1
0;1;32.08;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2.5;0;1;1;0;0;1;0;0;0;1;360;0;0;1
0;1;33.17;1.04;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;6.5;0;1;1;0;0;1;0;0;0;1;164;31285;0;1
1;0;22.92;11.585;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0.04;0;1;1;0;0;0;1;0;0;1;80;1349;0;1
0;1;54.42;0.5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3.96;0;1;1;0;0;0;1;0;0;1;180;314;0;1
0;1;42.5;4.915;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3.165;0;1;1;0;0;1;0;0;0;1;52;1442;0;1
0;1;22.08;0.83;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2.165;1;0;1;0;0;1;0;0;0;1;128;0;0;1
0;1;29.92;1.835;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4.335;0;1;1;0;0;0;1;0;0;1;260;200;0;1
1;0;38.25;6;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;1
0;1;48.08;6.04;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.04;1;0;1;0;0;0;1;0;0;1;0;2690;0;1
